component	drawable
ComponentInfo{com.android.gallery3d/com.huawei.gallery.app.GalleryMain}	gallery
ComponentInfo{com.android.gallery3d/com.android.hwcamera}	gallery
ComponentInfo{com.android.gallery3d/com.android.gallery3d.vivo.GalleryTabActivity}	gallery
ComponentInfo{com.android.gallery3d/com.android.gallery3d.camera_activity1}	gallery
ComponentInfo{com.htc.album/com.htc.album.AlbumMain.ActivityMainTabHost}	gallery
ComponentInfo{com.meizu.media.gallery/com.meizu.media.gallery.GalleryActivity}	gallery
ComponentInfo{com.motorola.MotGallery2/com.android.gallery3d.app.GalleryActivity}	gallery
ComponentInfo{com.sonyericsson.album/com.sonyericsson.album.MainActivity}	gallery
ComponentInfo{com.coloros.gallery3d/com.oppo.gallery3d.app.Gallery}	gallery
ComponentInfo{com.oneplus.gallery/com.oneplus.gallery.OPGalleryActivity}	gallery
ComponentInfo{com.oneplus.gallery/com.oneplus.gallery.app.MainActivity}	gallery
ComponentInfo{com.oneplus.gallery/com.coloros.gallery3d.app.MainActivity}	gallery
ComponentInfo{com.sec.android.gallery3d/com.samsung.android.gallery.app.activity.GalleryActivity}	gallery
ComponentInfo{com.coloros.gallery3d/com.coloros.gallery3d.app.MainActivity}	gallery
ComponentInfo{jp.co.sharp.android.picturemanager/jp.co.sharp.android.picturemanager.media.PictureManager}	gallery
ComponentInfo{com.huawei.photos/com.huawei.gallery.app.GalleryMain}	gallery
ComponentInfo{com.vivo.gallery/com.android.gallery3d.vivo.GalleryTabActivity}	gallery
ComponentInfo{com.android.gallery3d/com.android.gallery3d.v2.app.GalleryActivity2}	gallery
ComponentInfo{com.fm.media.gallery.sony/com.meizu.media.gallery.GalleryActivity}	gallery
ComponentInfo{com.motorola.cn.gallery/com.motorola.cn.gallery.app.GalleryActivity}	gallery
ComponentInfo{com.android.gallery3d/com.zte.gallery3d.activity.launcher.MainGallery}	gallery
ComponentInfo{org.fossify.gallery/org.fossify.gallery.activities.SplashActivity.Green}	gallery
ComponentInfo{org.lineageos.glimpse/org.lineageos.glimpse.MainActivity}	gallery
ComponentInfo{org.calyxos.glimpse/org.lineageos.glimpse.MainActivity}	gallery
ComponentInfo{com.miui.player/com.miui.player.ui.MusicBrowserActivity}	music
